OBJECTID,Zip Code,Rank,Neighborhood,% Change in IRS Ratio,% Change in Median Household Size,Change in % White Non Hispanic,"Change in % >=25 with Bachelor's Degrees",% Change in Rent (Inflation Adjusted),Index Score,High to Low AGI Ratio (2000),High to Low AGI Ratio (2014),Median Household Income (2014),Median Household Size (2000),Median Household Size (2013),% White Non-Hispanic (2000),% White Non-Hispanic (2014),"% >=25 w Bachelor's Degree (2000)","% >=25 w Bachelor's Degree (2014)",Median Gross Rent (2000 - Inflation Adjusted),Median Gross Rent 2014,% Change in Median Gross Rent,Median Household Income (2000 - Inflation Adjusted),% Change in Median Houshold Income (Inflation Adjusted),Population (2000),Population (2014),Population Change (2000-2014),Evaluated,Zip,Retail Bldgs 2000,New Retail Bldgs 2000-14,Total Retail Bldgs 2014,Ret Inv 2000 (SF),Ret Inv 2014 (SF),% Change in Retail Bldgs 2000-14,% Change in Retail SF 2000-14,% Chg in Avg Retail Bldg SF 2000-14,Change in Total Acres 2000-14,Input_#3_Zip,New MF Projects 2000-14,MF Projects Sold at Least Once between 2000-14," % of New MF Projects Sold at Least Once 2000-14",New MF SF 2000-14,New MF Acres 2000-14,New MF Units 2000-14,New Studios 2000-14,New 1 BR 2000-14,New 2 BR 2000-14,New 3 BR 2000-14,New 4 BR 2000-14,% Studio,% 1BR,% 2BR,% 3BR,% 4BR,Input_#4_Zip,Bldgs Sold Demo 00-14,MF SF Sold Demo 00-14,MF Total Acres Sold Demo 00-14,MF Sold Demo Average Age,Input_#5_Zip,RET Prop Sold Demoed 01-14,RET SF Sold Demoed 01-14,RET Avg Age Sold Demoed 01-14,RET Acres Sold Demoed 01-14,Input_#6_Zip,2014_Median_HomePrice
33,90036,46,Fairfax/Mid-Wilshire/Hancock Park,-16.742,3.704,-5.84,7.325,26.786,0.379542941,0.305,0.254,71049,1.89,1.96,67.31,61.47,58.39,65.72,1434,1818,0.267782426778243,65639.76842,8.2407840707,32885,36425,10.8,Yes,90036,273,20,293,2336548,3378740,7.32600732600733e-002,0.446039199708288,0.347333452287927,0.245168259298656,90036,11,3,0.272727272727273,2989436,33.7872,3260,191,1442,1322,253,0,5.95386533665835e-002,0.449501246882793,0.412094763092269,7.88653366583541e-002,0,90036,2,657495,6.6348,55,90036,7,77404,69.7142857142857,1.8855,90036,1234375
34,90037,59,Vermont Square/Exposition Park/Vermont-Slauson/South Park/Historic South Central,-50.042,0,0.374,1.994,29.899,0.357265355,28.642,14.309,26638,3.77,3.77,1.38,1.75,3.96,5.95,738,959,0.299457994579946,27873.46175,-4.4323943724,56691,61536,8.5,Yes,90037,230,6,236,1432493,1450474,2.60869565217391e-002,1.25522428381849e-002,-1.31906107932943e-002,3.13673929376409e-002,90037,11,0,0,569950,4.3886,446,0,200,61,108,41,0,0.48780487804878,0.148780487804878,0.263414634146341,0.1,90037,4,138482,7.178,42.5,90037,1,8739,94,0.4835,90037,312541.666666667
35,90038,8,Hollywood,-54.005,-7.17,6.787,12.725,29.701,0.545,5.474,2.518,33850,2.65,2.46,22.04,28.83,16.18,28.9,799,1036,0.296620775969962,32040.38962,5.647903791,32557,28798,-11.5,Yes,90038,208,5,213,1712209,1739555,2.40384615384615e-002,0.01597118108829,-7.87790766965114e-003,1.88685033114208e-002,90038,12,3,0.25,358412,3.5292,350,42,162,111,11,0,0.128834355828221,0.496932515337423,0.340490797546012,3.37423312883436e-002,0,90038,4,41328,1.944,92.5,90038,13,103821,73.4615384615385,4.972,90038,680375
36,90039,11,Silver Lake/Atwater Village/Frog Town/Echo Park,-35.495,-9.843,8.103,11.597,31.8,0.528,0.704,0.454,67170,2.54,2.29,29.74,37.84,32.6,44.19,1009,1330,0.318136769078295,62710.13355,7.1118752226,29306,27843,-5,Yes,90039,154,8,162,941634,1006502,5.1948051948052e-002,6.88887614508397e-002,1.61041312557364e-002,0.10083921761758,,,,,,,,,,,,,,,,,,90039,3,13280,0.924,75.6666666666667,90039,3,9660,88.6666666666667,1.1056,90039,753750
37,90041,51,Eagle Rock,-30.104,-0.355,0.339,11.944,27.504,0.374849079,0.628,0.439,64545,2.82,2.81,30.06,30.4,31.07,43.01,940,1199,0.275531914893617,66592.48403,-3.07464732668,27864,28439,2.1,Yes,90041,201,10,211,1348347,1430450,4.97512437810945e-002,6.08915954127535e-002,1.06123728813434e-002,0.128830593171316,90041,4,1,0.25,303102,2.1967,211,2,116,86,7,0,9.47867298578199e-003,0.549763033175355,0.407582938388626,3.3175355450237e-002,0,90041,2,7624,1.08,69,90041,7,23315,95.2857142857143,2.4314,90041,653425
38,90042,14,Highland Park/Montecito Heights,-43.971,-6.422,2.485,8.266,35.832,0.496,2.154,1.207,51427,3.27,3.06,12.44,14.92,17.03,25.29,861,1169,0.357723577235772,49579.70528,3.72590903792,64660,61034,-5.6,Yes,90042,319,5,324,1483859,1578691,1.56739811912226e-002,6.39090371794086e-002,4.74906878402202e-002,1.49893443501244e-002,90042,6,1,0.166666666666667,83811,2.1152,66,0,0,15,0,1,0,0,0.9375,0,0.0625,90042,1,6247,0.2473,97,,,,,,90042,484562.5
39,90043,64,Hyde Park,-23.007,-5.694,1.061,1.109,23.799,0.347465267,1.995,1.536,38738,2.81,2.65,2.59,3.65,19.79,20.9,830,1028,0.23855421686747,46837.03913,-17.2919537196,44761,43118,-3.7,Yes,90043,227,4,231,1125546,1152717,1.76211453744493e-002,2.41402839155397e-002,6.4062530252273e-003,3.49718498683575e-002,90043,5,0,0,296526,3.2666,217,0,201,8,8,0,0,0.926267281105991,3.68663594470046e-002,3.68663594470046e-002,0,,,,,,90043,2,64182,73,2.754,90043,367416.666666667
40,90044,43,Vermont Vista/Vermont Knowles/Vermont Slauson,-37.141,-4.225,0.031,3.477,28.3,0.380638725,14.671,9.222,28344,3.55,3.4,1.11,1.14,4.81,8.29,769,986,0.282184655396619,30370.04407,-6.67119239383,87366,88412,1.2,Yes,90044,225,9,234,1176558,1473306,0.04,0.252217060272422,0.204054865646559,9.1149170517364e-002,90044,12,2,0.166666666666667,426303,3.8834,322,0,130,52,65,75,0,0.403726708074534,0.161490683229814,0.201863354037267,0.232919254658385,,,,,,90044,6,15624,78.3333333333333,1.9142,90044,279166.666666667
41,90045,53,Westchester,-17.085,1.261,-0.975,11.399,42.277,0.37338851,0.236,0.196,78082,2.38,2.41,52.17,51.2,41.33,52.73,1188,1690,0.422558922558923,77765.23982,0.407328750909,39315,41453,5.4,Yes,90045,137,7,144,1862654,2191942,5.10948905109489e-002,0.176784308841041,0.119579516050157,0.136843111245881,90045,13,6,0.461538461538462,2068036,148.1252,2171,163,987,921,73,0,7.60261194029851e-002,0.46035447761194,0.429570895522388,3.40485074626866e-002,0,90045,29,219653,6.6597,52.2758620689655,90045,3,25125,58.3333333333333,1.424,90045,780246.25
42,90046,29,Hollywood/Hollywood Hills West/Bevelry Grove,-17.73,1.163,-5.839,10.629,32.02,0.414,0.472,0.388,56337,1.72,1.74,80.87,75.03,48.41,59.04,1063,1403,0.319849482596425,51413.64846,9.57596219578,49831,51329,3,Yes,90046,353,10,363,2291191,2638331,2.8328611898017e-002,0.151510720843439,0.119788662418,9.91394175207116e-002,90046,22,8,0.363636363636364,846746,8.6036,732,76,267,281,55,2,0.111600587371512,0.392070484581498,0.412628487518355,8.07635829662261e-002,2.93685756240822e-003,90046,7,169147,4.3569,73.5714285714286,90046,8,120292,60.875,7.7729,90046,1085625
43,90047,67,Manchester Square/Chesterfield Square,-31.418,-2.99,0.068,4.629,21.456,0.342877305,3.833,2.629,40528,3.01,2.92,1.11,1.18,10.97,15.6,883,1072,0.214043035107588,48312.16734,-16.1122296278,47105,46999,-0.2,Yes,90047,212,10,222,1142664,1387835,4.71698113207547e-002,0.214560885789698,0.159850935979352,0.390671601096432,90047,3,0,0,301002,4.1263,326,0,182,108,36,0,0,0.558282208588957,0.331288343558282,0.110429447852761,0,90047,2,23520,1.02,76,90047,6,57910,56.5,6.0781,90047,309018.75
44,90048,27,Beverly Grove,-15.422,4.598,-3.125,15.226,25.423,0.424,0.243,0.206,72913,1.74,1.82,80.69,77.56,50.93,66.15,1351,1695,0.254626202812731,64868.52245,12.4012036134,21724,22409,3.2,Yes,90048,318,6,324,3005340,3063638,1.88679245283019e-002,1.93981379810604e-002,5.20394685114876e-004,1.8042250900346e-002,90048,14,3,0.214285714285714,437750,3.5046,361,1,161,111,48,0,3.11526479750779e-003,0.501557632398754,0.345794392523364,0.149532710280374,0,90048,11,133682,2.3498,70.2727272727273,90048,4,26284,51.75,3.2658,90048,1250062.5
45,90049,78,Brentwood,5.687,5.025,-4.254,7.784,18.611,0.321934404,0.076,0.08,116732,1.99,2.09,84.38,80.13,70.03,77.81,1578,1872,0.186311787072243,115950.85134,0.673689456328,33520,35262,5.2,Yes,90049,60,2,62,622713,633013,3.33333333333333e-002,1.65405250894072e-002,-1.62511047521866e-002,1.60600725757195e-002,90049,13,2,0.153846153846154,600550,5.8987,492,9,73,246,53,0,2.36220472440945e-002,0.191601049868766,0.645669291338583,0.139107611548556,0,90049,20,262457,7.2091,62.5,90049,2,4428,72,0.37,90049,1461666.66666667
46,90056,104,Westchester,7.841,0,-4.293,5.013,24.232,0.247346037,0.252,0.272,76688,2.36,2.36,16.31,12.02,49.8,54.82,1177,1462,0.24214103653356,99248.77061,-22.7315365937,8108,8380,3.4,Yes,90056,17,1,18,209082,246082,5.88235294117647e-002,0.176964061946987,0.111577169616599,4.41147308220102e-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,90056,783583.333333333
47,90057,31,Westlake,-38.126,-3.448,-0.778,4.082,25.599,0.409782845,11.254,6.964,26940,2.9,2.8,5.52,4.74,12.72,16.8,694,872,0.256484149855908,27132.46072,-0.709337505308,43986,45747,4,Yes,90057,137,2,139,1489988,1535582,1.45985401459854e-002,3.06002464449378e-002,1.57714659205501e-002,3.19865354127193e-002,90057,18,2,0.111111111111111,793561,7.5581,798,17,221,320,199,19,2.19072164948454e-002,0.28479381443299,0.412371134020619,0.256443298969072,2.44845360824742e-002,90057,16,373603,9.8512,90.4615384615385,90057,8,142103,58.625,4.4897,90057,326250
48,90059,47,Watts/Green Meadows,-44.213,6.931,0.247,1.752,30.783,0.377354799,18.051,10.07,33678,4.04,4.32,0.71,0.96,5.03,6.78,687,899,0.308588064046579,30452.53027,10.5917954975,38123,42470,11.4,Yes,90059,63,8,71,443783,491210,0.126984126984127,0.10686979897833,-1.78479248502148e-002,7.35524192724822e-002,90059,4,0,0,174687,3.9793,170,0,90,76,2,2,0,0.529411764705882,0.447058823529412,1.17647058823529e-002,1.17647058823529e-002,,,,,,90059,1,9084,53,2.2473,90059,247266.666666667
49,90061,66,Broadway-Manchester/Vermont Vista/Green Meadows/Harbor Gateway,-33.233,-2.584,0.269,1.585,40.922,0.344652908,11.754,7.848,34566,3.87,3.77,0.8,1.07,5.89,7.47,791,1114,0.40834386852086,36361.29173,-4.93737060644,24503,28641,16.9,Yes,90061,71,12,83,332075,386438,0.169014084507042,0.16370699390198,-4.53980039710156e-003,0.252010392817637,90061,9,0,0,274827,4.3008,219,0,68,51,41,38,0,0.343434343434343,0.257575757575758,0.207070707070707,0.191919191919192,,,,,,90061,8,18391,73.625,2.2219,90061,255483.333333333
50,90062,58,Exposition Park/Vermont Square,-52.422,4.532,-0.947,-0.313,23.216,0.357305682,11.971,5.696,32067,3.31,3.46,2.05,1.1,6.97,6.66,822,1013,0.232360097323601,36982.68777,-13.2918618586,29279,32675,11.6,Yes,90062,92,1,93,490458,490958,1.08695652173913e-002,1.0194552846523e-003,-9.74419477217187e-003,8.51458034228096e-003,90062,1,0,0,40533,0.1242,34,0,34,0,0,0,0,1,0,0,0,90062,1,30365,2.0623,109,90062,5,18269,70.4,1.6,90062,322291.666666667
51,90063,34,Boyle Heights,-50.67,-5.634,0.02,1.939,26.079,0.398718955,11.082,5.467,39206,4.26,4.02,1.01,1.03,3.6,5.54,804,1014,0.261194029850746,41482.30998,-5.48742338866,55666,54353,-2.4,Yes,90063,135,6,141,585918,606101,4.44444444444444e-002,3.44467997228281e-002,-9.57221303133466e-003,5.52268827144996e-002,90063,3,0,0,104176,1.9695,89,0,0,19,49,19,0,0,0.218390804597701,0.563218390804598,0.218390804597701,,,,,,90063,6,29522,71.3333333333333,3.2928,90063,321208.333333333
52,90064,42,Sawtelle/West LA/Cheviot Hills/Rancho Park,-3.672,8.072,-3.512,12.381,36.737,0.385750485,0.177,0.171,86573,2.23,2.41,64.05,60.54,50.55,62.94,1236,1690,0.367313915857605,82380.34271,5.08939044446,24489,25788,5.3,Yes,90064,241,4,245,2529959,2660547,1.6597510373444e-002,5.16166467519829e-002,3.44473953764403e-002,3.00385018577707e-002,90064,17,5,0.294117647058824,614550,7.293,407,25,90,190,12,5,7.7639751552795e-002,0.279503105590062,0.590062111801242,3.72670807453416e-002,1.5527950310559e-002,90064,4,30977,0.7772,63.5,90064,5,253955,67.2,7.0387,90064,948895.833333333
53,90065,19,Glassell Park/Cypress Park/Mt Washington,-35.66,-6.97,3.471,6.413,29.055,0.462,1.266,0.815,52794,3.3,3.07,15.7,19.17,21.09,27.5,865,1116,0.290173410404624,52613.82267,0.342452459936,47524,46254,-2.7,Yes,90065,185,3,188,1375739,1392188,1.62162162162162e-002,1.19564830247598e-002,-4.19175872563536e-003,7.56980669646502e-004,90065,3,0,0,208899,19.6248,205,0,24,96,85,0,0,0.117073170731707,0.468292682926829,0.414634146341463,0,,,,,,,,,,,90065,547166.666666667
54,90066,36,Mar Vista/Del Rey/Playa Vista,-21.672,1.695,0.647,12.384,33.726,0.392235428,0.39,0.306,68346,2.36,2.4,45.58,46.23,37.84,50.22,1072,1434,0.337686567164179,61987.00453,10.2585945525,55194,58337,5.7,Yes,90066,234,6,240,1127344,1147010,2.56410256410256e-002,1.74445422160405e-002,-7.99157133936048e-003,1.51864018018109e-004,90066,20,5,0.25,2043566,21.9866,1433,73,623,544,107,0,5.41945063103192e-002,0.462509279881218,0.403860430586489,7.94357832219748e-002,0,90066,3,10860,0.58,74,90066,4,21945,73.25,1.561,90066,905229.166666667
55,90067,107,Century City,7.871,1.258,-4.565,13.367,-9.361,0.21846303,0.041,0.044,89500,1.59,1.61,86.16,81.6,46.37,59.74,2207,2000,-9.37924784775714e-002,102874.0391,-13.0004024504,2524,2364,-6.3,Yes,90067,2,1,3,1310200,1326561,0.5,1.2487406502824e-002,-0.325008395664784,1.9720779800377e-002,90067,1,0,0,751296,3.7059,140,0,0,0,0,0,,,,,,,,,,,,,,,,90067,1144617.41666667
56,90068,60,Hollywood Hills,1.967,2.299,-4.039,9.933,28.314,0.35704049,0.238,0.243,73373,1.74,1.78,76.06,72.02,54.94,64.87,1125,1443,0.282666666666667,72711.5853,0.909641424088,21713,21943,1.1,Yes,,,,,,,,,,,90068,6,3,0.5,341624,4.8619,360,13,244,93,9,1,3.61111111111111e-002,0.677777777777778,0.258333333333333,0.025,2.77777777777778e-003,,,,,,,,,,,90068,1006208.33333333
57,90069,55,Hollywood Hills West,-4.871,5.333,-9.734,9.839,27.17,0.363640167,0.207,0.197,78607,1.5,1.58,82.68,72.95,52.79,62.63,1235,1570,0.271255060728745,70408.84555,11.6436427639,20395,20426,0.2,Yes,90069,320,18,338,1987588,2235241,0.05625,0.124599766148719,6.47098377739352e-002,0.15824021127068,90069,11,1,9.09090909090909e-002,243041,3.3793,160,0,32,60,25,0,0,0.273504273504274,0.512820512820513,0.213675213675214,0,90069,11,69696,2.1879,64.9090909090909,90069,18,195356,69.6666666666667,9.1645,90069,759125
58,90077,111,Bel Air,21.945,2.429,-1.88,3.738,-3.531,0.140502073,0.054,0.066,172443,2.47,2.53,83.84,81.96,70.81,74.55,2073,2000,-3.5214664737096e-002,194567.07379,-11.370923846,10465,8328,-20.4,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90077,1919479.16666667
59,90094,95,Playa Vista/Playa del Rey,-17.259,0,0,0,0,0.2643746,0.118,0.098,96010,0,2.02,0,44.52,0,80.47,0,2000,,0,0,0,6062,0,Yes,,,,,,,,,,,90094,3,1,0.333333333333333,1428535,18.5843,1324,1,466,770,87,0,7.55287009063444e-004,0.351963746223565,0.581570996978852,6.57099697885196e-002,0,,,,,,,,,,,90094,729604.166666667
60,90210,110,Beverly Crest,47.208,4.858,-2.47,3.883,11.305,0.173520052,0.073,0.108,138750,2.47,2.59,84.82,82.35,55.46,59.35,1797,2000,0.112966054535337,154760.60844,-10.3454028783,21396,21478,0.4,Yes,90210,135,7,142,1596914,1731079,5.18518518518519e-002,8.40151692577058e-002,3.05778017590865e-002,5.22450617025226e-002,90210,3,0,0,253322,2.1057,155,0,108,15,32,0,0,0.696774193548387,9.67741935483871e-002,0.206451612903226,0,90210,5,182502,2.4243,83.6666666666667,90210,3,73175,72,0.504,90210,2815416.66666667
61,90230,44,Del Rey/Playa Vista,-17.091,0,-1.107,9.39,31.168,0.380003573,0.373,0.31,73786,2.46,2.46,39.36,38.25,38.9,48.29,1167,1531,0.31191088260497,70491.33175,4.67386296756,31945,33090,3.6,Yes,90230,184,7,191,3039622,3104533,3.80434782608696e-002,2.13549579520085e-002,-1.60768991457091e-002,2.56382281145477e-002,,,,,,,,,,,,,,,,,,,,,,,90230,1,2112,34,0.4017,90230,521562.5
62,90247,70,Harbor Gateway,-24.572,-1.365,-3.363,7.704,14.718,0.339079969,2.072,1.563,42968,2.93,2.89,9.38,6.01,14.67,22.37,962,1104,0.147609147609148,48255.80177,-10.957857037,47741,47374,-0.8,Yes,90247,217,8,225,1680223,1748727,3.68663594470046e-002,4.07707786406923e-002,3.7655954001344e-003,5.91835976950039e-002,90247,3,1,0.333333333333333,24601,0.9016,18,0,0,4,14,0,0,0,0.222222222222222,0.777777777777778,0,,,,,,90247,9,135494,62.2222222222222,7.1656,90247,359125
63,90248,85,Harbor Gateway,-15.192,-4.348,-4.092,3.297,20.945,0.306987784,0.783,0.664,51956,2.99,2.86,13.34,9.25,20.11,23.41,938,1134,0.208955223880597,59286.95625,-12.3652093373,9944,9936,-0.1,Yes,90248,81,11,92,930648,1074647,0.135802469135802,0.1547298226612,1.66643003864909e-002,0.161667212926862,,,,,,,,,,,,,,,,,,,,,,,90248,6,62493,44.1666666666667,4.6533,90248,432000
64,90272,90,Pacific Palisades,-8.97,3.265,-3.414,6.524,-13.971,0.282932316,0.061,0.055,157938,2.45,2.53,88.54,85.12,70.27,76.79,2325,2000,-0.139784946236559,168927.61329,-6.50551622436,22538,23497,4.3,Yes,,,,,,,,,,,90272,2,0,0,43528,0.6173,7,0,0,7,0,0,0,0,1,0,0,,,,,,90272,2,17774,66,1.4703,90272,2194812.5
66,90291,9,Venice,-34.441,-3.03,6.583,14.551,47.363,0.539,0.423,0.278,81025,1.98,1.92,60.52,67.1,46.83,61.38,1166,1718,0.473413379073756,62921.84813,28.7708521094,31018,27803,-10.4,Yes,90291,226,14,240,1185852,1233287,6.19469026548673e-002,4.00007758135079e-002,-2.06659361089468e-002,3.28419118469339e-002,90291,8,2,0.25,230775,3.099,204,16,129,40,6,0,8.37696335078534e-002,0.675392670157068,0.209424083769634,3.1413612565445e-002,0,90291,3,47364,1.0364,81.3333333333333,90291,6,26198,91.4,0.9796,90291,1482541.66666667
67,90292,84,Del Rey/Venice,-12.967,7.273,-6.384,7.982,0.885,0.307552413,0.131,0.114,103319,1.65,1.77,80.03,73.65,60.26,68.24,1982,2000,9.08173562058527e-003,99279.01555,4.06932364067,18057,21507,19.1,Yes,90292,94,9,103,1347688,1387897,9.57446808510638e-002,2.9835540570221e-002,-6.0150089188342e-002,0.421098243552477,90292,19,7,0.368421052631579,5002618,228.7455,4081,209,1342,1453,215,2,6.48866811549208e-002,0.416640794784228,0.451102142191866,6.67494566904688e-002,6.20925178515989e-004,,,,,,90292,3,9800,57,2.2124,90292,771695.833333333
68,90293,101,Playa Del Rey,-2.589,1.099,-13.593,1.166,29.695,0.253025,0.13,0.127,84588,1.82,1.84,73.51,59.91,59.68,60.85,1362,1767,0.297356828193833,91319.09725,-7.37096341587,11252,11997,6.6,Yes,,,,,,,,,,,90293,5,2,0.4,518328,8.5382,606,111,227,265,3,0,0.183168316831683,0.374587458745875,0.437293729372937,4.95049504950495e-003,0,,,,,,90293,1,5300,65,0.23,90293,522208.333333333
69,90402,83,Pacific Palisades (also Santa Monica),-10.77,-5.628,-5.187,3.935,37.658,0.311337191,0.073,0.065,131607,2.31,2.18,88.35,83.16,70.47,74.4,1343,1849,0.376768428890544,162983.10781,-19.2511409505,11492,11503,0.1,Yes,90402,21,1,22,102798,110190,4.76190476190476e-002,7.19080137745871e-002,2.31849222393787e-002,4.60576422014671e-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,90402,3007791.66666667
70,90501,38,Harbor Gateway,-19.009,0.342,-9.303,9.51,27.134,0.389403327,0.728,0.59,59878,2.92,2.93,33.11,23.81,20.45,29.96,954,1213,0.271488469601677,57901.18809,3.41411286229,40697,43407,6.7,Yes,90501,204,17,221,1510019,1917574,8.33333333333333e-002,0.269900577409953,0.172215917609187,0.282733807257324,90501,7,1,0.142857142857143,74129,1.7584,62,0,1,5,12,0,0,5.55555555555556e-002,0.277777777777778,0.666666666666667,0,,,,,,90501,6,30989,58.8333333333333,3.0863,90501,536937.5
71,90502,74,Harbor Gateway,-15.758,-2.397,-9.205,10.494,12.752,0.326947165,0.638,0.538,62533,2.92,2.85,26.95,17.74,22.31,32.8,1207,1361,0.127589063794532,66815.19677,-6.40901617747,17038,17135,0.6,Yes,90502,45,1,46,526026,552005,2.22222222222222e-002,4.93872926433294e-002,2.65745254119527e-002,1.0735208854506e-003,,,,,,,,,,,,,,,,,,,,,,,90502,2,3142,69,0.81,90502,339125
72,90710,81,Harbor City,-2.553,1.014,-6.533,5.84,19.87,0.318021238,0.78,0.76,54630,2.96,2.99,26.22,19.68,19.52,25.36,883,1058,0.198187995469989,58151.39623,-6.05556608834,24640,27550,11.8,Yes,90710,67,8,75,489543,605326,0.119402985074627,0.236512420767941,0.104617762552694,0.419034579523853,90710,1,0,0,3800,0.2445,5,0,0,4,1,0,0,0,0.8,0.2,0,,,,,,90710,2,15901,56,1.4051,90710,422416.666666667
73,90731,71,San Pedro,-9.47,2.281,-5.171,3.953,19.46,0.333621156,0.97,0.878,49786,2.63,2.69,36.71,31.53,17.48,21.43,942,1125,0.194267515923567,49367.9907,0.846721314911,58622,62348,6.4,Yes,90731,214,7,221,1346643,1570900,3.27102803738318e-002,0.166530401895677,0.1295814751388,9.55427555280656e-002,90731,5,3,0.6,847807,5.5247,546,35,151,173,71,0,8.13953488372093e-002,0.351162790697674,0.402325581395349,0.165116279069767,0,90731,2,60286,1.1492,47,90731,4,32523,84.5,1.403,90731,447912.5
