OBJECTID,Zip Code,Rank,Neighborhood,% Change in IRS Ratio,% Change in Median Household Size,Change in % White Non Hispanic,"Change in % >=25 with Bachelor's Degrees",% Change in Rent (Inflation Adjusted),Index Score,High to Low AGI Ratio (2000),High to Low AGI Ratio (2014),Median Household Income (2014),Median Household Size (2000),Median Household Size (2013),% White Non-Hispanic (2000),% White Non-Hispanic (2014),"% >=25 w Bachelor's Degree (2000)","% >=25 w Bachelor's Degree (2014)",Median Gross Rent (2000 - Inflation Adjusted),Median Gross Rent 2014,% Change in Median Gross Rent,Median Household Income (2000 - Inflation Adjusted),% Change in Median Houshold Income (Inflation Adjusted),Population (2000),Population (2014),Population Change (2000-2014),Evaluated,Zip,Retail Bldgs 2000,New Retail Bldgs 2000-14,Total Retail Bldgs 2014,Ret Inv 2000 (SF),Ret Inv 2014 (SF),% Change in Retail Bldgs 2000-14,% Change in Retail SF 2000-14,% Chg in Avg Retail Bldg SF 2000-14,Change in Total Acres 2000-14,Input_#3_Zip,New MF Projects 2000-14,MF Projects Sold at Least Once between 2000-14," % of New MF Projects Sold at Least Once 2000-14",New MF SF 2000-14,New MF Acres 2000-14,New MF Units 2000-14,New Studios 2000-14,New 1 BR 2000-14,New 2 BR 2000-14,New 3 BR 2000-14,New 4 BR 2000-14,% Studio,% 1BR,% 2BR,% 3BR,% 4BR,Input_#4_Zip,Bldgs Sold Demo 00-14,MF SF Sold Demo 00-14,MF Total Acres Sold Demo 00-14,MF Sold Demo Average Age,Input_#5_Zip,RET Prop Sold Demoed 01-14,RET SF Sold Demoed 01-14,RET Avg Age Sold Demoed 01-14,RET Acres Sold Demoed 01-14,Input_#6_Zip,2014_Median_HomePrice
74,90732,99,San Pedro,10.368,-3.347,-9.098,0.738,26.916,0.254646011,0.151,0.167,84537,2.39,2.31,66.01,56.91,35.79,36.53,1331,1689,0.268970698722765,87454.61878,-3.33615173298,21264,19810,-6.8,Yes,90732,28,4,32,532147,600610,0.142857142857143,0.128654300409473,-1.24274871417108e-002,0.102446192870271,90732,1,0,0,132332,1.5301,136,0,10,122,4,0,0,7.35294117647059e-002,0.897058823529412,2.94117647058824e-002,0,,,,,,90732,2,56008,52.5,10.15,90732,439895.833333333
75,90744,73,Wilmington,-21.383,8.158,-2.342,0.439,28.139,0.327920144,3.142,2.47,41578,3.8,4.11,6.89,4.54,6.08,6.52,796,1020,0.281407035175879,41599.16543,-0.0508794582324,53308,58061,8.9,Yes,90744,190,14,204,1046863,1116090,7.36842105263158e-002,6.61280415871036e-002,-7.03760832573682e-003,5.01345544174448e-002,90744,4,0,0,358148,13.3695,346,0,130,42,123,51,0,0.375722543352601,0.121387283236994,0.355491329479769,0.147398843930636,,,,,,90744,3,63542,49.3333333333333,7.22,90744,331427.083333333
76,91040,79,Shadow Hills/Sunland,-0.453,2.672,-6.68,5.285,21.161,0.32112171,0.39,0.388,70830,2.62,2.69,68.42,61.74,22.99,28.28,975,1181,0.211282051282051,71342.31438,-0.718107317449,18748,20017,6.8,Yes,91040,97,2,99,608526,623336,2.06185567010309e-002,2.43374974939444e-002,3.64381067588486e-003,1.04534678936794e-002,91040,1,0,0,5400,0.32,4,0,0,0,4,0,0,0,0,1,0,,,,,,,,,,,91040,434218.75
77,91042,76,Tujunga,-13.842,4.833,-2.809,2.36,25.838,0.323330061,0.756,0.651,57640,2.69,2.82,60.41,57.61,22.3,24.66,911,1147,0.259055982436883,58952.88714,-2.2270107601,26738,28126,5.2,Yes,91042,164,13,177,705170,863401,7.92682926829268e-002,0.224387027241658,0.134460296427299,0.59047499957612,91042,6,2,0.333333333333333,81826,2.3184,84,0,1,3,21,0,0,0.04,0.12,0.84,0,,,,,,91042,1,4400,,,91042,459416.666666667
78,91303,40,Canoga Park,-24.875,-3.859,-3.752,8.016,24.147,0.387606963,2.115,1.589,46187,3.11,2.99,24.96,21.21,15.98,24,994,1234,0.241448692152918,50548.91813,-8.62910284011,23508,27827,18.4,Yes,91303,291,7,298,3416744,3608227,2.40549828178694e-002,5.60425364030785e-002,3.12361680983083e-002,2.14015188056089e-002,91303,9,2,0.222222222222222,2225889,31.2651,1869,8,974,700,167,10,4.30338891877353e-003,0.523937600860678,0.376546530392684,8.98332436793975e-002,5.37923614846692e-003,91303,3,44326,1.4419,53,91303,5,52114,55.2,3.6978,91303,367958.333333333
79,91304,96,West Hills/Canoga Park,1.571,6.485,-11.734,3.649,19.598,0.260517098,0.631,0.641,58361,2.93,3.12,46.38,34.65,25.21,28.85,1001,1197,0.195804195804196,66060.44804,-11.6551556467,49226,53517,8.7,Yes,91304,87,4,91,1080220,1250065,4.59770114942529e-002,0.157231860176631,0.106364525663372,0.125490119452369,91304,5,1,0.2,306777,4.8793,241,0,15,146,67,0,0,6.57894736842105e-002,0.640350877192982,0.293859649122807,0,,,,,,91304,4,73166,66,18.4272,91304,459312.5
80,91306,98,Winnetka,-9.703,6.27,-12.163,0.507,19.365,0.257260568,0.989,0.893,60959,3.19,3.39,37.61,25.45,22.58,23.09,965,1152,0.193782383419689,67451.71528,-9.62572301245,43846,48707,11.1,Yes,91306,88,6,94,786553,844289,6.81818181818182e-002,7.34038265698561e-002,4.88868870369504e-003,5.60268941944795e-002,91306,3,1,0.333333333333333,165406,1.8098,150,0,8,104,0,0,0,7.14285714285714e-002,0.928571428571429,0,0,,,,,,91306,1,3968,50,,91306,413562.5
81,91307,91,West Hills,-1.012,2.431,-7.898,5.923,7.125,0.281285559,0.179,0.177,98655,2.88,2.95,70.64,62.74,38.73,44.65,1867,2000,7.12372790573112e-002,101831.96344,-3.11980966749,23622,25597,8.4,Yes,91307,47,2,49,1469982,1615510,4.25531914893617e-002,9.89998516988643e-002,5.41427148948291e-002,4.97548006007343e-002,91307,2,1,0.5,122545,2.6076,75,0,12,41,22,0,0,0.16,0.546666666666667,0.293333333333333,0,,,,,,91307,2,2016,59,0.7918,91307,535687.5
82,91311,103,Chatsworth,16.232,5.747,-14.403,6.31,15.808,0.248665727,0.262,0.304,80279,2.61,2.76,65.51,51.11,34.46,40.77,1224,1417,0.157679738562091,85606.9279,-6.22371113028,35317,37769,6.9,Yes,91311,119,12,131,1156821,1237111,0.100840336134454,6.94057248269179e-002,-2.85551049282196e-002,8.29682103757103e-002,91311,5,2,0.4,293314,5.3698,220,0,111,84,13,0,0,0.533653846153846,0.403846153846154,0.0625,0,,,,,,91311,5,144856,43,12.4376,91311,449583.333333333
83,91316,82,Encino,8.501,4.63,-5.543,10.251,22.069,0.312115725,0.305,0.331,62016,2.16,2.26,76.84,71.3,41.24,51.49,1192,1455,0.220637583892617,67543.82487,-8.184056619,27595,28190,2.2,Yes,91316,94,2,96,1158196,1172380,2.12765957446809e-002,1.22466318308818e-002,-8.8418396655949e-003,9.73726783117973e-003,91316,4,2,0.5,493966,5.1129,325,0,55,216,54,0,0,0.169230769230769,0.664615384615385,0.166153846153846,0,,,,,,,,,,,91316,485625
84,91324,89,Northridge,-0.96,3.46,-9.11,3.882,33.719,0.294926345,0.572,0.566,58993,2.89,2.99,45.51,36.4,31.92,35.8,1046,1399,0.337476099426386,68684.88397,-14.1106505679,25731,29178,13.4,Yes,91324,199,9,208,4516411,4836697,4.52261306532663e-002,7.09160437347265e-002,2.4578330303897e-002,8.00102188585591e-002,91324,6,2,0.333333333333333,1058782,19.9571,993,18,406,389,71,0,2.03619909502262e-002,0.459276018099547,0.440045248868778,8.0316742081448e-002,0,91324,1,4244,0.44,80,91324,11,510036,46.8181818181818,34.9978,91324,474958.333333333
85,91325,105,Northridge/Lake Balboa,3.545,4.545,-11.07,1.396,24.082,0.246629736,0.497,0.515,57883,2.64,2.76,51.81,40.74,36.38,37.78,1052,1305,0.240494296577947,67164.38835,-13.8189129359,32300,32823,1.6,Yes,91325,80,2,82,645584,775733,0.025,0.201598862425339,0.172291573097892,0.145671453357586,91325,9,0,0,267495,4.7112,231,0,68,108,26,0,0,0.336633663366337,0.534653465346535,0.128712871287129,0,,,,,,91325,4,16490,56.5,2.295,91325,485708.333333333
86,91326,87,Porter Ranch/Chatsworth,14.536,2.778,-11.255,4.308,54.741,0.301880468,0.136,0.156,98831,2.88,2.96,60.21,48.96,49.85,54.16,1155,1787,0.547186147186147,113157.3187,-12.6605321375,28049,36024,28.4,Yes,91326,22,7,29,718605,757439,0.318181818181818,5.40408151905428e-002,-0.20038282985545,5.26035494709253e-002,91326,4,2,0.5,779849,36.9258,755,90,334,300,31,0,0.119205298013245,0.442384105960265,0.397350993377483,4.10596026490066e-002,0,,,,,,,,,,,91326,628895.833333333
87,91331,39,Pacoima/Arleta,-41.951,1.101,-2.58,2.293,42.606,0.389150288,5.713,3.316,51345,4.54,4.59,6.88,4.3,6.02,8.31,906,1292,0.426048565121413,53925.35325,-4.78504654024,97300,102367,5.2,Yes,91331,185,14,199,1598757,2008687,7.56756756756757e-002,0.256405444980069,0.168015112167401,0.220448326997786,91331,3,0,0,103411,3.1049,72,0,14,16,42,0,0,0.194444444444444,0.222222222222222,0.583333333333333,0,91331,1,40657,1.25,,91331,1,9790,74,0.9,91331,336208.333333333
88,91335,86,Reseda/Tarzana,-18.602,8.852,-9.137,3.136,25.836,0.30520815,1.649,1.342,51398,3.05,3.32,39.12,29.98,19.63,22.77,962,1211,0.258835758835759,56079.61784,-8.34816288042,68002,77952,14.6,Yes,91335,330,6,336,2536379,2582909,1.81818181818182e-002,1.83450501679757e-002,1.60317129261932e-004,2.20676838766416e-002,91335,15,2,0.133333333333333,621575,10.1956,544,4,223,203,62,0,8.13008130081301e-003,0.453252032520325,0.41260162601626,0.126016260162602,0,91335,8,76430,2.2579,54.875,91335,7,32558,53.3333333333333,3.8804,91335,398187.5
89,91342,68,Lake View Terrace,-21.963,1.892,-8.114,4.292,28.539,0.341840752,1.307,1.02,60899,3.7,3.77,22.15,14.03,12.79,17.09,1021,1313,0.285994123408423,67011.78888,-9.12196045228,81970,91701,11.9,Yes,91342,113,8,121,1258318,1357004,7.07964601769911e-002,7.84269159306312e-002,7.12596281125053e-003,0.272450645687992,91342,11,1,9.09090909090909e-002,925954,27.5958,818,0,441,224,90,49,0,0.548507462686567,0.278606965174129,0.111940298507463,6.09452736318408e-002,91342,1,5876,1.6667,62,91342,9,68880,66,12.4812,91342,370832.5
90,91343,69,North Hills/Northridge,-13.501,5.797,-6.942,4.583,33.659,0.340536908,1.229,1.063,55238,3.45,3.65,27.52,20.58,19.1,23.69,872,1165,0.336009174311927,57446.13922,-3.84384268461,57001,61976,8.7,Yes,91343,97,15,112,828601,1086499,0.154639175257732,0.311245098666306,0.135631915809212,0.176824178756439,91343,10,1,0.1,507635,7.5432,404,0,74,106,137,37,0,0.209039548022599,0.299435028248588,0.387005649717514,0.104519774011299,91343,1,55091,0.849,66,91343,4,36781,71.5,2.7765,91343,417083.333333333
91,91344,94,Granada Hills,2.058,4.73,-9.658,2.406,22.665,0.265810788,0.329,0.336,77247,2.96,3.1,55.94,46.28,32.92,35.33,1254,1538,0.226475279106858,89287.18719,-13.4847872006,48863,53165,8.8,Yes,91344,136,2,138,1854985,1860985,1.47058823529412e-002,3.23452750291781e-003,-1.13051033304578e-002,3.0163765119078e-003,91344,4,0,0,204132,2.868,123,0,3,103,0,0,0,2.83018867924528e-002,0.971698113207547,0,0,,,,,,91344,3,23798,52.3333333333333,2.8853,91344,488854.166666667
92,91345,92,Mission Hills,-9.908,2.402,-7.262,3.995,8.942,0.272582157,0.975,0.878,60148,3.33,3.41,27.24,19.98,16.01,20,1213,1321,8.9035449299258e-002,72317.02631,-16.827332277,17102,18196,6.4,Yes,91345,61,4,65,507128,570473,6.55737704918033e-002,0.124909293117319,5.56841058485614e-002,9.21383186193302e-002,,,,,,,,,,,,,,,,,,,,,,,91345,1,1200,,0.538,91345,382083.333333333
93,91352,50,Shadow Hills/Sun Valley,-23.168,-4.359,-2.883,3.788,28.733,0.375729519,2.503,1.923,49088,3.9,3.73,21.31,18.43,10.44,14.23,902,1161,0.287139689578714,56808.24594,-13.5900093591,46624,46874,0.5,Yes,91352,140,5,145,1215112,1268594,3.57142857142857e-002,4.40140497336871e-002,8.01356526011175e-003,4.96690738241337e-002,91352,6,2,0.333333333333333,365840,5.9099,299,0,3,44,0,98,0,2.06896551724138e-002,0.303448275862069,0,0.675862068965517,91352,1,1232,1.86,,91352,1,3450,86,0.4669,91352,378333.333333333
94,91356,97,Tarzana,16.684,7.787,-5.558,3.719,13.858,0.257395231,0.308,0.359,69148,2.44,2.63,72.88,67.33,42.07,45.79,1094,1246,0.138939670932358,70690.6734,-2.1822870342,27407,29847,8.9,Yes,91356,146,7,153,1298058,1465988,4.79452054794521e-002,0.129370182226064,7.76996510131068e-002,6.91251620611363e-002,91356,1,0,0,21266,0.3997,14,0,0,14,0,0,0,0,1,0,0,,,,,,91356,2,65328,65.5,9.37,91356,556979.166666667
95,91364,108,Woodland Hills,13.332,3.252,-9.578,0.723,12.526,0.216495186,0.16,0.182,93919,2.46,2.54,80.12,70.54,51.54,52.26,1609,1810,0.124922311995028,109175.98478,-13.9746710879,25985,26975,3.8,Yes,91364,266,7,273,2008245,2138234,2.63157894736842e-002,0.06472766022074,3.74269509843108e-002,5.9961426938964e-002,91364,3,1,0.333333333333333,565623,12.5092,428,38,242,130,10,0,9.04761904761905e-002,0.576190476190476,0.30952380952381,2.38095238095238e-002,0,,,,,,91364,10,44051,68.1,2.417,91364,682958.333333333
96,91367,100,Woodland Hills,23.684,4.783,-11.086,7.211,19.038,0.254493646,0.182,0.226,77152,2.3,2.41,77.84,66.75,45.29,52.5,1475,1756,0.190508474576271,84350.38812,-8.53391226814,36106,42029,16.4,Yes,91367,72,4,76,1904717,1933124,5.55555555555556e-002,1.49140265981771e-002,-3.85025011175165e-002,9.26759690624179e-002,91367,9,4,0.444444444444444,2368757,49.4627,2121,32,948,823,91,0,1.68954593453009e-002,0.500527983104541,0.434530095036959,4.80464625131996e-002,0,,,,,,91367,3,61718,43,6.0382,91367,554604.166666667
97,91401,54,Valley Glen/Van Nuys/Sherman Oaks,-20.33,-1.449,1.305,5.463,27.971,0.366995549,1.248,0.994,48994,2.76,2.72,40.76,42.07,25.71,31.17,920,1177,0.279347826086957,48670.98231,0.663676126244,40372,40503,0.3,Yes,91401,244,13,257,1563466,1945707,5.32786885245902e-002,0.24448309077396,0.181532584236756,0.154429069912529,91401,25,6,0.24,438472,7.4182,361,4,19,101,60,35,1.82648401826484e-002,8.67579908675799e-002,0.461187214611872,0.273972602739726,0.159817351598174,91401,10,203071,8.9148,70.4,91401,6,81116,64.5,4.7086,91401,590125
98,91402,75,Panorama City,-28.188,2.66,-3.01,2.128,26.253,0.324217164,4.51,3.239,39009,3.76,3.86,11.62,8.61,14.2,16.32,843,1064,0.262158956109134,44674.52592,-12.6817818507,66241,70781,6.9,Yes,91402,147,7,154,2173951,2286870,4.76190476190476e-002,5.19418330955942e-002,4.12629522761256e-003,6.08989418626004e-002,91402,14,2,0.142857142857143,710289,8.4206,632,0,278,187,114,35,0,0.452768729641694,0.304560260586319,0.185667752442997,5.70032573289902e-002,91402,2,40996,1.1515,50,91402,2,22962,19,0.6534,91402,311291.666666667
99,91403,72,Encino/Sherman Oaks,6.351,5.556,-2.233,8.252,21.984,0.328417845,0.214,0.227,75334,1.98,2.09,77,74.76,50.89,59.15,1281,1563,0.220140515222482,73682.17292,2.24182731662,22079,24353,10.3,Yes,91403,149,2,151,1410339,1481667,1.34228187919463e-002,5.05750745033641e-002,3.66601728543129e-002,5.51436547074436e-002,91403,20,4,0.2,668333,9.7309,510,1,182,222,51,15,2.12314225053079e-003,0.386411889596603,0.471337579617834,0.10828025477707,3.18471337579618e-002,91403,2,52126,0.5745,47.5,91403,3,59457,52,5.9968,91403,776933.541666667
100,91405,62,Van Nuys,-26.01,4.531,2.723,4.063,24.876,0.352985865,3.634,2.688,38162,3.09,3.23,23.65,26.37,15.81,19.87,859,1073,0.249126891734575,40771.55389,-6.40042784987,51344,53406,4,Yes,91405,196,6,202,1965923,2011542,3.06122448979592e-002,2.32048762845747e-002,-7.18734776348197e-003,3.49894677997552e-002,91405,22,4,0.181818181818182,706191,10.4735,527,15,38,262,103,12,3.48837209302326e-002,8.83720930232558e-002,0.609302325581395,0.23953488372093,2.7906976744186e-002,91405,3,42722,3.1609,65.6666666666667,91405,6,52057,50.5,3.5181,91405,403878.041666667
101,91406,63,Van Nuys/Lake Balboa,-20.195,4.124,-3.317,3.986,21.051,0.350838641,1.485,1.185,50381,2.91,3.03,32.78,29.46,19.01,23,933,1130,0.211146838156484,51111.19906,-1.42864787645,50041,53528,7,Yes,91406,123,11,134,1102860,1288773,8.94308943089431e-002,0.168573527011588,7.26458494210847e-002,0.155875975649339,91406,21,2,9.52380952380952e-002,552371,7.8175,499,0,222,188,43,0,0,0.490066225165563,0.415011037527594,9.49227373068433e-002,0,91406,1,6516,0.5624,65,91406,5,12696,52.2,3.0874,91406,422545.833333333
102,91411,49,Van Nuys/Sherman Oaks,-17.436,-2.622,2.227,10.164,26.392,0.375914831,1.386,1.145,43758,2.67,2.6,33.74,35.97,20.77,30.94,917,1159,0.263904034896401,47107.86882,-7.11106000741,23641,24146,2.1,Yes,91411,110,7,117,1157853,1278009,6.36363636363636e-002,0.103774831520063,3.77370210872391e-002,0.120244692495045,91411,13,4,0.307692307692308,179761,3.4464,162,1,4,88,4,0,1.03092783505155e-002,4.12371134020619e-002,0.907216494845361,4.12371134020619e-002,0,91411,7,151506,3.3073,71.7142857142857,91411,1,8350,52,1.0984,91411,536125
103,91423,77,Sherman Oaks,11.167,8.122,-5.982,10.726,21.557,0.32303091,0.246,0.273,75671,1.97,2.13,76.49,70.51,46.06,56.79,1221,1484,0.215397215397215,72398.13774,4.52064426264,29370,32130,9.4,Yes,91423,208,6,214,2087351,2132281,2.88461538461538e-002,2.15248896807485e-002,-7.11599507665562e-003,1.38129342534035e-002,91423,19,5,0.263157894736842,634516,7.1302,423,0,72,231,102,1,0,0.177339901477833,0.568965517241379,0.251231527093596,2.46305418719212e-003,91423,8,130971,2.9531,66.375,91423,2,12900,71,0.634,91423,797100.416666667
104,91436,93,Encino,7.08,-1.569,-2.914,7.104,15.457,0.267151132,0.07,0.074,128060,2.55,2.51,87.23,84.32,56.77,63.87,1732,2000,0.15473441108545,141122.89004,-9.25639351369,13109,14563,11.1,Yes,91436,48,3,51,846473,879736,0.0625,3.92959964464313e-002,-2.18390621680649e-002,4.51464694190101e-002,91436,4,1,0.25,376834,6.7936,317,14,127,153,13,0,4.56026058631922e-002,0.413680781758958,0.498371335504886,4.23452768729642e-002,0,91436,1,16159,0.629,64,91436,4,46490,51.75,4.4659,91436,1197729.16666667
105,91504,88,Shadow Hills/Sun Valley,-11.579,0.749,-1.086,6.304,24.653,0.300411189,0.405,0.358,71296,2.67,2.69,55.02,53.93,30.53,36.83,1071,1335,0.246498599439776,76730.03801,-7.08202178825,25872,25544,-1.3,Yes,91504,69,12,81,450950,886886,0.173913043478261,0.966705843219869,0.675342014594703,0.65973637991111,91504,6,3,0.5,628768,9.7017,402,10,176,187,13,10,2.52525252525253e-002,0.444444444444444,0.472222222222222,3.28282828282828e-002,2.52525252525253e-002,,,,,,91504,3,16282,48.5,2.2441,91504,606000
106,91601,12,North Hollywood/Valley Village/Toluca Lake,-36.369,-6.024,5.214,13.077,37.175,0.525,1.905,1.212,47202,2.49,2.34,34.03,39.25,22.77,35.84,916,1256,0.37117903930131,43540.34067,8.40980863644,36616,38781,5.9,Yes,91601,382,10,392,1764062,1903917,2.61780104712042e-002,7.9280093330053e-002,5.17474378879597e-002,6.16291893466571e-002,91601,40,9,0.225,2796311,26.5285,2752,322,1134,959,166,12,0.124180485923641,0.437331276513691,0.369841881989973,6.40185113767836e-002,4.62784419591207e-003,91601,28,455086,11.2411,60.3333333333333,91601,4,29000,66,4.0364,91601,482583.333333333
107,91602,52,Toluca Lake/North Hollywood/Studio City,-27.25,6.593,-3.989,8.067,28.026,0.373418472,0.405,0.295,63544,1.82,1.94,69.59,65.6,45.83,53.89,1123,1438,0.280498664292075,65973.83753,-3.68303197293,16978,18315,7.9,Yes,91602,100,2,102,579965,618595,0.02,6.66074676920159e-002,4.56935957764862e-002,3.41539685971492e-002,91602,30,10,0.333333333333333,922812,11.726,701,0,156,334,98,0,0,0.26530612244898,0.568027210884354,0.166666666666667,0,91602,15,195467,7.7558,64.9333333333333,91602,4,19875,76,1.7742,91602,631666.666666667
108,91604,65,Studio City,9.47,7.407,-7.723,10.534,32.574,0.346344528,0.181,0.198,90528,1.89,2.03,81.42,73.69,50.51,61.05,1263,1675,0.326207442596991,82897.25623,9.20506192488,26137,29072,11.2,Yes,91604,301,5,306,2002225,2030480,1.66112956810631e-002,1.41118006218082e-002,-2.45865363671806e-003,1.58706773149213e-002,91604,29,10,0.344827586206897,1094719,12.5394,965,9,321,482,61,4,1.02622576966933e-002,0.366020524515393,0.549600912200684,6.95553021664766e-002,4.56100342075257e-003,91604,16,178835,6.0985,61.25,91604,1,3781,85,0.1965,91604,966416.708333333
109,91605,24,Sun Valley/Valley Glen/North Hollywood,-25.238,-4.065,4.123,5.677,31.483,0.433,3.503,2.619,43707,3.69,3.54,18.78,22.9,12.68,18.36,829,1090,0.314837153196622,44223.60136,-1.16815759937,57129,56060,-1.9,Yes,91605,195,7,202,1751161,1816027,3.58974358974359e-002,3.70417111847511e-002,1.10462218329923e-003,0.06535351304789,91605,31,7,0.225806451612903,659806,12.3878,651,12,222,181,113,32,2.14285714285714e-002,0.396428571428571,0.323214285714286,0.201785714285714,5.71428571428571e-002,91605,8,72389,5.4054,63.5714285714286,,,,,,91605,397000
110,91606,28,North Hollywood/Valley Glen,-28.378,-2.288,3.532,6.882,27.66,0.422,2.833,2.029,42195,3.06,2.99,29.54,33.07,14.76,21.65,881,1125,0.276958002270148,43725.93462,-3.50120502467,45348,45467,0.3,Yes,91606,241,4,245,2337870,2397468,1.6597510373444e-002,2.54924354219867e-002,8.74970178244409e-003,2.19736852595465e-002,91606,10,4,0.4,353661,4.2715,280,0,138,75,27,0,0,0.575,0.3125,0.1125,0,91606,3,10562,1.0405,70,91606,2,10248,43,1.4058,91606,426375
111,91607,61,Valley Village/Valley Glen,-8.984,3.318,-3.076,9.229,27.167,0.356460377,0.567,0.516,52274,2.11,2.18,64.72,61.64,35.56,44.78,1005,1278,0.271641791044776,55767.54505,-6.26447703027,27439,29591,7.8,Yes,91607,99,3,102,634050,646076,3.03030303030303e-002,1.89669584417633e-002,-1.10026579829946e-002,2.73683854296343e-002,91607,23,5,0.217391304347826,1241713,16.6323,996,0,21,787,93,4,0,2.32044198895028e-002,0.869613259668508,0.102762430939227,4.41988950276243e-003,91607,10,142745,5.3012,64.8,91607,1,2288,84,0.14,91607,669282.208333333
